V1,V2,
Zm00001d023669,2,1
Zm00001d051799,2,0
Zm00001d009751,3,0
Zm00001d049464,2,0
Zm00001d015354,2,0
Zm00001d026695,2,0
Zm00001d016255,4,1
Zm00001d027431,6,1
Zm00001d048471,6,1
Zm00001d047207,7,0
Zm00001d021591,2,1
Zm00001d006463,2,1
Zm00001d049190,8,0
Zm00001d045460,2,0
Zm00001d043652,8,0
Zm00001d031586,2,0
Zm00001d053746,5,0
Zm00001d025129,7,0
Zm00001d017268,5,1
Zm00001d018941,4,1
Zm00001d027846,7,1
Zm00001d041067,7,0
Zm00001d029875,7,1
Zm00001d042977,7,0
Zm00001d003459,7,0
Zm00001d015085,7,0
Zm00001d045014,4,0
Zm00001d020457,6,1
Zm00001d002871,6,0
Zm00001d035512,7,1
Zm00001d008985,7,0
Zm00001d042123,6,0
Zm00001d008690,4,0
Zm00001d017908,3,1
Zm00001d007059,3,0
Zm00001d009939,5,1
Zm00001d043665,5,0
Zm00001d032999,4,1
Zm00001d051865,7,1
Zm00001d040554,5,1
Zm00001d004078,5,0
Zm00001d002069,2,0
Zm00001d044162,5,1
Zm00001d020280,5,0
Zm00001d011527,5,1
Zm00001d023673,7,0
Zm00001d021205,2,1
Zm00001d005748,2,0
Zm00001d034978,7,0
Zm00001d047973,2,0
Zm00001d021883,8,0
Zm00001d028406,2,0
Zm00001d033385,2,0
Zm00001d042059,1,0
Zm00001d017849,5,0
Zm00001d045560,6,1
Zm00001d012438,6,0
Zm00001d024265,5,0
Zm00001d048159,7,0
Zm00001d008295,6,0
Zm00001d027022,1,0
Zm00001d031009,8,1
Zm00001d048086,8,0
Zm00001d039142,7,0
Zm00001d010399,5,1
Zm00001d036440,5,0
Zm00001d046922,2,0
Zm00001d030172,5,0
Zm00001d004335,5,0
Zm00001d021164,1,1
Zm00001d053916,1,0
Zm00001d005391,2,0
Zm00001d017778,6,1
Zm00001d051569,4,1
Zm00001d017575,2,1
Zm00001d018335,2,0
Zm00001d020851,8,0
Zm00001d028686,5,0
Zm00001d023839,8,0
Zm00001d021418,2,0
Zm00001d035467,2,0
Zm00001d030858,5,1
Zm00001d035588,5,0
Zm00001d042931,4,0
Zm00001d049581,3,1
Zm00001d049579,3,0
Zm00001d023332,6,1
Zm00001d039827,2,0
Zm00001d032933,4,0
Zm00001d009907,7,0
Zm00001d042305,2,1
Zm00001d011985,2,1
Zm00001d015204,3,0
Zm00001d049223,7,1
Zm00001d043023,7,0
Zm00001d025831,5,0
Zm00001d010406,8,0
Zm00001d029855,2,1
Zm00001d046485,8,0
Zm00001d047796,7,0
Zm00001d024187,7,0
Zm00001d007155,3,0
Zm00001d034781,2,0
Zm00001d039331,8,0
Zm00001d026712,6,0
Zm00001d041748,5,0
Zm00001d052760,7,0
Zm00001d026326,3,0
Zm00001d027925,5,1
Zm00001d027928,6,1
Zm00001d018530,2,1
Zm00001d025959,2,0
Zm00001d023387,2,0
