TF,Target
Zm00001d031736,Zm00001d008841
Zm00001d031736,Zm00001d018298
Zm00001d040651,Zm00001d033489
Zm00001d010399,Zm00001d038023
Zm00001d031009,Zm00001d020363
Zm00001d035323,Zm00001d038522
Zm00001d035323,Zm00001d012335
Zm00001d032265,Zm00001d053695
Zm00001d041958,Zm00001d014341
Zm00001d014201,Zm00001d017559
Zm00001d024324,Zm00001d017984
Zm00001d031796,Zm00001d014253
Zm00001d048527,Zm00001d027317
Zm00001d033870,Zm00001d029647
Zm00001d031736,Zm00001d049244
Zm00001d005892,Zm00001d039524
Zm00001d031009,Zm00001d029023
Zm00001d002364,Zm00001d001907
Zm00001d011597,Zm00001d047538
Zm00001d039324,Zm00001d002579
Zm00001d019216,Zm00001d005203
Zm00001d041866,Zm00001d023565
Zm00001d031736,Zm00001d052738
Zm00001d024324,Zm00001d014491
Zm00001d044988,Zm00001d036250
Zm00001d049364,Zm00001d008573
Zm00001d052133,Zm00001d006103
Zm00001d030069,Zm00001d007862
Zm00001d041489,Zm00001d031061
Zm00001d031796,Zm00001d007175
Zm00001d002079,Zm00001d007274
Zm00001d031736,Zm00001d032923
Zm00001d054080,Zm00001d025786
Zm00001d023402,Zm00001d029460
Zm00001d021057,Zm00001d048082
Zm00001d017986,Zm00001d047516
Zm00001d029064,Zm00001d047456
Zm00001d049364,Zm00001d001907
Zm00001d037274,Zm00001d020363
Zm00001d015614,Zm00001d033943
Zm00001d026351,Zm00001d002234
Zm00001d003645,Zm00001d052981
Zm00001d002364,Zm00001d042887
Zm00001d052112,Zm00001d018260
Zm00001d050664,Zm00001d029647
Zm00001d054080,Zm00001d021056
Zm00001d054080,Zm00001d021056
Zm00001d024701,Zm00001d015363
Zm00001d032265,Zm00001d053746
Zm00001d017614,Zm00001d006094
Zm00001d031009,Zm00001d033777
Zm00001d023565,Zm00001d005945
Zm00001d034601,Zm00001d006016
Zm00001d013357,Zm00001d023301
Zm00001d018930,Zm00001d047637
Zm00001d050664,Zm00001d051057
