,V1,V2,
406,Zm00001d014291,4,0
407,Zm00001d014366,6,0
408,Zm00001d039615,3,0
409,Zm00001d038013,6,1
410,Zm00001d044004,6,1
411,Zm00001d049684,6,1
412,Zm00001d046174,3,1
413,Zm00001d011417,3,0
414,Zm00001d029460,5,0
415,Zm00001d053995,5,0
416,Zm00001d047638,3,0
417,Zm00001d031943,6,0
418,Zm00001d011331,1,0
419,Zm00001d009140,4,0
420,Zm00001d039065,5,1
421,Zm00001d014716,5,0
422,Zm00001d017592,5,1
423,Zm00001d002618,5,1
424,Zm00001d030555,5,0
425,Zm00001d029842,4,0
426,Zm00001d036357,5,0
427,Zm00001d046120,1,0
428,Zm00001d006098,7,0
429,Zm00001d052079,5,0
430,Zm00001d003031,1,0
431,Zm00001d045295,3,0
432,Zm00001d035089,1,0
433,Zm00001d021577,4,0
434,Zm00001d038741,4,0
435,Zm00001d010038,4,0
436,Zm00001d037703,6,0
437,Zm00001d028952,4,0
438,Zm00001d040362,1,1
439,Zm00001d051550,6,1
440,Zm00001d010911,6,0
441,Zm00001d007327,6,0
442,Zm00001d039189,1,0
443,Zm00001d017900,4,1
444,Zm00001d014734,3,0
445,Zm00001d018260,6,1
446,Zm00001d017391,8,1
447,Zm00001d033308,4,1
448,Zm00001d030363,6,0
449,Zm00001d052741,6,0
450,Zm00001d048431,1,0
451,Zm00001d015201,3,1
452,Zm00001d015032,3,0
453,Zm00001d021700,6,0
454,Zm00001d017268,5,1
455,Zm00001d051149,5,1
456,Zm00001d002068,6,0
457,Zm00001d038366,4,0
458,Zm00001d043025,5,1
459,Zm00001d038451,5,1
460,Zm00001d018183,5,0
461,Zm00001d040555,1,0
462,Zm00001d002399,5,0
463,Zm00001d024630,4,1
464,Zm00001d036283,4,0
465,Zm00001d012166,6,0
466,Zm00001d041725,4,0
467,Zm00001d033843,1,0
468,Zm00001d003884,3,1
469,Zm00001d035475,3,0
470,Zm00001d003483,5,0
471,Zm00001d035612,6,0
472,Zm00001d036118,6,1
473,Zm00001d033246,1,1
474,Zm00001d035323,5,1
475,Zm00001d010280,3,1
476,Zm00001d028797,4,0
477,Zm00001d053706,6,0
478,Zm00001d003104,6,0
479,Zm00001d029736,4,1
480,Zm00001d033407,6,1
481,Zm00001d041670,7,0
482,Zm00001d034415,4,0
483,Zm00001d002799,5,1
484,Zm00001d033782,5,0
485,Zm00001d014765,3,1
486,Zm00001d051749,4,1
487,Zm00001d051753,4,0
488,Zm00001d044541,3,0
489,Zm00001d017983,5,0
490,Zm00001d012856,1,0
491,Zm00001d043365,5,0
492,Zm00001d042993,3,0
493,Zm00001d034826,5,0
494,Zm00001d003948,1,0
495,Zm00001d047750,7,0
496,Zm00001d052168,6,0
497,Zm00001d012555,6,0
498,Zm00001d043663,5,1
499,Zm00001d044348,5,0
500,Zm00001d021199,1,0
501,Zm00001d012746,4,1
502,Zm00001d022597,4,0
503,Zm00001d021291,4,1
504,Zm00001d012482,5,1
505,Zm00001d015721,6,0
506,Zm00001d028286,4,0
507,Zm00001d017591,5,1
508,Zm00001d009401,1,0
509,Zm00001d044162,5,1
510,Zm00001d042934,5,0
511,Zm00001d033854,5,0
512,Zm00001d013811,6,0
513,Zm00001d006697,4,0
514,Zm00001d028144,4,0
515,Zm00001d009122,1,0
516,Zm00001d045392,5,0
517,Zm00001d025541,4,0
518,Zm00001d002850,3,0
519,Zm00001d040364,6,0
520,Zm00001d052530,5,0
521,Zm00001d016558,5,0
522,Zm00001d047481,4,0
523,Zm00001d004348,8,0
524,Zm00001d008820,4,0
525,Zm00001d041853,4,1
526,Zm00001d044683,4,0
527,Zm00001d021263,3,1
528,Zm00001d018461,2,0
529,Zm00001d008363,1,0
530,Zm00001d033071,5,0
531,Zm00001d002801,6,1
532,Zm00001d032453,6,0
533,Zm00001d034753,6,0
534,Zm00001d018142,8,1
535,Zm00001d052180,8,1
536,Zm00001d045125,7,0
537,Zm00001d024734,4,0
538,Zm00001d048647,4,1
539,Zm00001d014748,5,0
540,Zm00001d049218,2,0
541,Zm00001d015298,3,0
542,Zm00001d032370,1,0
543,Zm00001d028139,3,1
544,Zm00001d036370,3,0
545,Zm00001d009939,5,1
546,Zm00001d037607,5,1
547,Zm00001d028386,4,0
548,Zm00001d054066,7,0
549,Zm00001d049141,6,0
550,Zm00001d046126,6,1
551,Zm00001d037029,6,1
552,Zm00001d015213,6,0
553,Zm00001d031213,4,0
554,Zm00001d049913,1,1
555,Zm00001d014563,6,0
556,Zm00001d044461,1,0
557,Zm00001d054080,6,1
558,Zm00001d036455,6,0
559,Zm00001d008214,2,0
560,Zm00001d034221,3,0
561,Zm00001d039004,4,1
562,Zm00001d002772,4,0
563,Zm00001d007650,8,0
564,Zm00001d029810,6,0
565,Zm00001d043019,4,0
566,Zm00001d036534,4,0
567,Zm00001d048437,6,1
568,Zm00001d045507,6,1
569,Zm00001d019734,5,1
570,Zm00001d006397,5,0
571,Zm00001d032264,3,0
572,Zm00001d011953,1,1
573,Zm00001d048632,1,0
574,Zm00001d019149,6,0
575,Zm00001d017615,5,0
576,Zm00001d049486,7,0
577,Zm00001d038907,5,1
578,Zm00001d050164,5,0
579,Zm00001d027979,5,0
580,Zm00001d020133,4,0
581,Zm00001d039631,8,0
582,Zm00001d018322,6,0
583,Zm00001d017575,3,1
584,Zm00001d051439,4,1
