V1,V2,
Zm00001d053060,6,1
Zm00001d045655,2,0
Zm00001d043277,2,0
Zm00001d036050,5,1
Zm00001d020731,5,0
Zm00001d013625,3,1
Zm00001d051598,3,0
Zm00001d015030,4,0
Zm00001d053016,4,0
Zm00001d007228,4,0
Zm00001d015795,2,0
Zm00001d048055,2,0
Zm00001d040090,2,1
Zm00001d024199,5,0
Zm00001d010611,2,0
Zm00001d017097,4,0
Zm00001d017422,6,1
Zm00001d007166,6,0
Zm00001d033396,2,1
Zm00001d009952,3,0
Zm00001d051932,2,0
Zm00001d012494,5,0
Zm00001d052457,3,0
Zm00001d009810,5,0
Zm00001d031971,5,0
Zm00001d028841,3,0
Zm00001d020429,7,0
Zm00001d045398,3,1
Zm00001d036118,3,1
Zm00001d040686,1,0
Zm00001d027709,5,1
Zm00001d048021,3,0
Zm00001d041981,7,1
Zm00001d021583,2,0
Zm00001d053880,3,1
Zm00001d024540,1,0
Zm00001d020339,7,0
Zm00001d029539,5,0
Zm00001d027887,5,0
Zm00001d037828,5,0
Zm00001d031796,7,1
Zm00001d001826,5,0
Zm00001d041866,3,1
Zm00001d030945,3,0
Zm00001d025669,2,1
Zm00001d013177,2,0
Zm00001d034751,2,1
Zm00001d014946,4,0
Zm00001d015639,6,1
Zm00001d053630,1,0
Zm00001d030345,3,0
Zm00001d019374,5,0
Zm00001d003751,5,0
Zm00001d018973,7,0
Zm00001d023801,2,0
Zm00001d003996,2,0
Zm00001d037932,3,0
Zm00001d011236,2,0
Zm00001d008817,5,1
Zm00001d053965,5,0
Zm00001d015730,2,0
Zm00001d014612,3,0
Zm00001d004443,5,0
Zm00001d042848,5,0
Zm00001d014947,3,0
Zm00001d045354,2,0
Zm00001d016683,5,0
Zm00001d037605,5,1
Zm00001d035634,5,0
Zm00001d052921,5,0
Zm00001d049763,2,0
Zm00001d020929,3,0
Zm00001d025199,2,0
Zm00001d047944,8,0
Zm00001d009317,1,0
Zm00001d002774,5,0
Zm00001d037434,8,0
Zm00001d031445,1,1
Zm00001d002272,1,0
Zm00001d034298,4,1
Zm00001d028359,2,0
Zm00001d021368,4,0
Zm00001d026563,6,1
Zm00001d002688,1,0
Zm00001d026204,5,1
Zm00001d026203,5,1
Zm00001d008794,8,1
Zm00001d033071,7,0
Zm00001d044387,7,0
Zm00001d047579,7,1
Zm00001d012255,5,1
Zm00001d016935,5,0
Zm00001d047090,5,0
Zm00001d002093,3,0
Zm00001d037636,5,0
Zm00001d024533,1,0
Zm00001d015085,4,0
Zm00001d051573,2,1
Zm00001d017784,2,1
Zm00001d006016,5,0
Zm00001d024409,4,0
Zm00001d012880,3,0
Zm00001d051420,3,0
Zm00001d046404,5,0
Zm00001d035767,3,0
Zm00001d040362,4,1
Zm00001d003750,4,0
Zm00001d005682,5,0
Zm00001d031634,5,0
Zm00001d018791,5,0
Zm00001d030900,2,0
Zm00001d014625,3,0
Zm00001d032079,5,0
Zm00001d007603,3,0
Zm00001d015521,4,1
Zm00001d014690,7,1
Zm00001d016083,8,0
Zm00001d045632,7,0
Zm00001d049166,5,0
Zm00001d044211,1,0
Zm00001d034621,5,0
Zm00001d037772,8,0
Zm00001d030010,1,0
Zm00001d024141,5,0
Zm00001d027427,1,0
Zm00001d051542,2,0
Zm00001d018512,2,0
Zm00001d027355,7,0
Zm00001d020487,3,0
Zm00001d035512,5,1
Zm00001d036726,7,1
Zm00001d027932,7,0
Zm00001d030678,3,1
Zm00001d048841,3,0
Zm00001d048175,4,0
Zm00001d018149,5,0
Zm00001d009071,5,0
Zm00001d002618,7,1
Zm00001d022040,1,0
Zm00001d033389,7,0
Zm00001d004523,5,0
Zm00001d033709,2,0
Zm00001d025483,7,1
Zm00001d050140,7,0
Zm00001d011656,7,0
Zm00001d020256,2,0
Zm00001d017292,2,0
Zm00001d003895,3,0
Zm00001d020717,6,0
Zm00001d029571,1,0
Zm00001d023957,2,0
Zm00001d050748,4,0
Zm00001d032142,2,0
Zm00001d003676,4,0
Zm00001d015599,8,0
Zm00001d045695,5,0
Zm00001d047758,7,0
Zm00001d033193,2,0
Zm00001d034076,3,0
Zm00001d049950,3,0
Zm00001d026690,5,0
Zm00001d048717,4,0
Zm00001d050960,2,1
Zm00001d038174,2,0
Zm00001d006358,2,0
Zm00001d020704,2,0
Zm00001d018802,2,0
Zm00001d020403,5,0
Zm00001d027613,7,0
Zm00001d019712,5,1
Zm00001d036293,5,0
Zm00001d046655,5,0
Zm00001d028258,5,0
Zm00001d036103,3,0
Zm00001d052125,3,1
Zm00001d028714,3,0
Zm00001d020741,5,0
Zm00001d009985,7,0
Zm00001d016674,4,1
Zm00001d053091,4,0
Zm00001d043164,2,0
Zm00001d002452,7,1
Zm00001d046893,7,0
Zm00001d044602,1,0
Zm00001d011953,2,1
Zm00001d003601,2,1
Zm00001d037210,4,0
Zm00001d053897,5,0
Zm00001d015292,5,0
Zm00001d014530,7,0
Zm00001d030316,5,0
Zm00001d012036,8,0
Zm00001d018461,6,0
Zm00001d047699,5,0
Zm00001d050507,5,0
Zm00001d010796,5,0
Zm00001d034145,5,1
Zm00001d013208,7,1
Zm00001d041576,4,1
Zm00001d028599,5,0
Zm00001d043864,3,0
Zm00001d045036,4,0
Zm00001d010638,1,1
Zm00001d044481,1,1
Zm00001d048312,3,1
Zm00001d047750,5,0
Zm00001d031118,2,0
Zm00001d016160,3,0
Zm00001d017560,1,1
Zm00001d006907,1,0
Zm00001d048795,5,0
Zm00001d028143,2,0
Zm00001d035439,4,1
Zm00001d013804,5,0
Zm00001d014563,2,0
Zm00001d030888,5,0
Zm00001d053695,7,0
Zm00001d030617,3,1
Zm00001d049234,3,0
Zm00001d051316,3,1
Zm00001d017420,5,1
Zm00001d048190,3,0
Zm00001d043735,5,0
Zm00001d046919,5,0
Zm00001d006456,2,0
Zm00001d018623,4,0
Zm00001d013048,2,0
Zm00001d022630,3,0
Zm00001d010049,2,0
Zm00001d047519,2,1
Zm00001d038891,1,0
Zm00001d004843,5,0
Zm00001d037882,1,0
Zm00001d037062,3,0
Zm00001d027320,4,0
Zm00001d003770,3,0
Zm00001d017778,5,1
Zm00001d051569,5,1
Zm00001d017282,5,0
Zm00001d003412,3,1
Zm00001d029970,3,0
Zm00001d016564,3,0
Zm00001d021492,2,0
Zm00001d045945,3,0
Zm00001d008327,2,0
Zm00001d046749,2,0
Zm00001d039489,2,0
Zm00001d007851,1,0
Zm00001d042940,5,0
Zm00001d039524,7,0
Zm00001d031182,5,1
Zm00001d014792,1,0
Zm00001d026094,4,1
Zm00001d009556,4,0
Zm00001d005348,1,0
Zm00001d001879,2,1
Zm00001d014722,5,0
Zm00001d033912,6,0
Zm00001d006213,2,0
Zm00001d041323,2,0
Zm00001d050484,1,0
Zm00001d031079,7,0
Zm00001d040302,5,1
Zm00001d027790,1,0
Zm00001d037513,3,0
Zm00001d034206,2,0
Zm00001d006878,5,0
Zm00001d013542,2,0
Zm00001d036650,7,0
Zm00001d043778,4,0
Zm00001d038372,3,0
Zm00001d006024,2,0
Zm00001d010266,1,0
Zm00001d052760,5,0
Zm00001d004232,5,0
Zm00001d028711,7,0
Zm00001d012167,5,1
Zm00001d035171,5,0
Zm00001d039010,5,0
Zm00001d038878,5,1
Zm00001d043667,1,0
Zm00001d048027,7,0
Zm00001d011312,3,0
Zm00001d007204,2,0
Zm00001d041489,2,1
Zm00001d026344,2,0
Zm00001d029074,4,0
Zm00001d029126,3,0
Zm00001d042463,5,1
Zm00001d042420,5,0
Zm00001d050310,6,1
Zm00001d050768,6,0
Zm00001d015407,5,1
Zm00001d046922,5,0
Zm00001d012664,4,0
Zm00001d037194,5,0
Zm00001d026460,5,0
Zm00001d013108,5,0
Zm00001d024379,5,0
Zm00001d041958,3,1
Zm00001d043242,3,0
Zm00001d043205,6,1
Zm00001d016661,6,0
Zm00001d005071,2,1
Zm00001d010805,5,1
Zm00001d024778,5,0
Zm00001d039260,3,1
Zm00001d043129,1,0
Zm00001d016198,5,0
Zm00001d004839,8,0
Zm00001d030532,5,1
Zm00001d041972,7,0
Zm00001d006750,2,0
Zm00001d053103,3,0
Zm00001d004921,8,0
Zm00001d028094,6,0
Zm00001d039638,2,0
Zm00001d037420,4,0
Zm00001d010656,2,0
Zm00001d003268,1,0
Zm00001d052157,2,0
Zm00001d042325,3,0
Zm00001d015700,5,0
Zm00001d020774,2,0
Zm00001d039994,2,0
Zm00001d044139,1,0
Zm00001d039471,2,0
Zm00001d042381,2,0
Zm00001d043971,1,0
Zm00001d052229,5,1
Zm00001d005798,6,1
Zm00001d002523,6,0
Zm00001d042905,5,0
Zm00001d038761,5,1
Zm00001d031822,5,0
Zm00001d016915,5,0
Zm00001d016698,8,0
Zm00001d021231,5,0
Zm00001d007329,8,1
Zm00001d041719,8,0
Zm00001d048053,3,0
Zm00001d033158,2,0
Zm00001d021806,1,0
Zm00001d022315,2,0
Zm00001d013983,7,0
Zm00001d023899,5,0
Zm00001d046136,5,0
Zm00001d039177,3,0
Zm00001d011297,5,1
Zm00001d030348,8,0
Zm00001d045563,5,0
Zm00001d008905,5,0
Zm00001d022395,8,0
Zm00001d035467,3,0
Zm00001d008793,8,1
Zm00001d031673,8,1
Zm00001d029151,8,0
Zm00001d040697,3,0
Zm00001d017951,5,0
Zm00001d020609,5,0
Zm00001d051334,5,0
Zm00001d043520,3,0
Zm00001d042880,4,0
Zm00001d030659,1,0
Zm00001d014808,1,0
Zm00001d051700,6,1
Zm00001d005039,6,0
