V1,V2,
Zm00001d049256,6,0
Zm00001d010907,3,1
Zm00001d020554,5,0
Zm00001d011785,4,1
Zm00001d011597,2,1
Zm00001d033296,2,0
Zm00001d028608,2,0
Zm00001d039506,2,1
Zm00001d025848,2,0
Zm00001d021883,2,0
Zm00001d009578,2,0
Zm00001d014697,5,0
Zm00001d015515,4,1
Zm00001d012482,7,1
Zm00001d053544,2,0
Zm00001d005740,2,1
Zm00001d002211,1,0
Zm00001d036922,3,0
Zm00001d005578,2,1
Zm00001d010520,3,0
Zm00001d017139,6,0
Zm00001d019283,5,0
Zm00001d005528,3,0
Zm00001d043451,2,0
Zm00001d020405,3,1
Zm00001d002626,3,0
Zm00001d035907,2,1
Zm00001d028432,2,1
Zm00001d047750,2,0
Zm00001d005892,4,1
Zm00001d021205,4,1
Zm00001d041769,2,0
Zm00001d010785,1,1
Zm00001d034204,2,1
Zm00001d026231,6,1
Zm00001d019045,6,0
Zm00001d014377,6,1
Zm00001d035616,6,0
Zm00001d009693,3,0
Zm00001d022042,5,0
Zm00001d038301,2,0
Zm00001d007164,2,0
Zm00001d036919,3,0
Zm00001d009480,6,0
Zm00001d033709,2,0
Zm00001d033645,5,0
Zm00001d003107,6,0
Zm00001d017638,3,0
Zm00001d039687,2,0
Zm00001d011810,1,0
Zm00001d004894,2,0
Zm00001d036091,4,0
Zm00001d050507,3,0
Zm00001d024376,4,1
Zm00001d025360,4,0
Zm00001d022501,5,0
Zm00001d046055,3,0
Zm00001d004889,2,1
Zm00001d042777,6,1
Zm00001d038862,3,0
Zm00001d022306,2,0
Zm00001d002338,3,0
Zm00001d016081,6,0
Zm00001d022390,6,0
Zm00001d048055,6,0
Zm00001d028074,2,0
Zm00001d015618,2,0
Zm00001d017397,2,0
Zm00001d006064,3,0
Zm00001d028363,3,0
Zm00001d048669,4,0
Zm00001d034609,6,0
Zm00001d005039,4,0
Zm00001d032295,4,1
Zm00001d008756,4,0
Zm00001d043652,2,0
Zm00001d030348,2,0
Zm00001d047125,3,0
Zm00001d040090,6,1
Zm00001d049443,6,1
Zm00001d008772,1,0
Zm00001d038466,3,0
Zm00001d006169,4,1
Zm00001d012573,1,0
Zm00001d050873,3,0
