V1,V2,
Zm00001d040429,4,0
Zm00001d037867,4,0
Zm00001d027389,1,0
Zm00001d031667,4,0
Zm00001d010159,4,0
Zm00001d016496,4,0
Zm00001d044646,4,0
Zm00001d018545,1,0
Zm00001d028201,6,0
Zm00001d003895,4,0
Zm00001d039446,1,0
Zm00001d051172,4,1
Zm00001d045144,4,0
Zm00001d046385,1,0
Zm00001d043370,1,0
Zm00001d007327,4,0
Zm00001d041397,2,1
Zm00001d040320,5,0
Zm00001d046190,1,0
Zm00001d011387,6,0
Zm00001d029849,1,0
Zm00001d005092,5,0
Zm00001d010308,4,0
Zm00001d003839,7,0
Zm00001d011405,4,0
Zm00001d049823,4,0
Zm00001d026127,4,0
Zm00001d003725,5,0
Zm00001d038449,4,0
Zm00001d033913,1,0
Zm00001d048076,5,0
Zm00001d018752,2,0
Zm00001d028360,4,0
Zm00001d035254,4,0
Zm00001d024770,1,0
Zm00001d036981,4,0
Zm00001d022174,1,0
Zm00001d004917,4,0
Zm00001d037886,1,0
Zm00001d021810,5,0
Zm00001d043196,4,0
Zm00001d021900,3,0
Zm00001d050518,5,0
Zm00001d037481,4,0
Zm00001d017617,1,0
Zm00001d018125,4,0
Zm00001d019062,7,0
Zm00001d034317,1,0
Zm00001d001856,1,0
Zm00001d020929,4,0
Zm00001d021059,4,0
Zm00001d043223,1,0
Zm00001d051859,3,0
Zm00001d021704,1,0
Zm00001d013971,1,0
Zm00001d045326,4,0
Zm00001d038879,4,0
Zm00001d020939,4,1
Zm00001d052751,5,0
Zm00001d050557,4,0
Zm00001d005888,4,1
Zm00001d043895,4,1
Zm00001d048431,1,0
Zm00001d049455,1,0
Zm00001d036742,4,0
Zm00001d040670,5,0
Zm00001d053404,1,0
Zm00001d006864,6,0
Zm00001d002163,4,0
Zm00001d028371,5,1
Zm00001d023630,5,0
Zm00001d044059,4,0
Zm00001d037318,5,0
Zm00001d053080,7,0
Zm00001d036241,4,0
Zm00001d019446,4,0
Zm00001d009118,4,0
Zm00001d021901,5,0
Zm00001d050024,4,0
Zm00001d051917,4,0
Zm00001d024908,6,0
Zm00001d013845,4,0
Zm00001d034571,5,1
Zm00001d020414,1,0
Zm00001d042023,1,0
Zm00001d038327,5,0
Zm00001d039678,5,0
Zm00001d011130,1,0
Zm00001d004992,2,0
Zm00001d002768,4,0
Zm00001d019180,4,0
