V1,V2,
Zm00001d021577,6,0
Zm00001d034642,6,0
Zm00001d047847,2,0
Zm00001d013868,4,0
Zm00001d016087,6,0
Zm00001d003266,3,0
Zm00001d028408,2,0
Zm00001d004036,3,0
Zm00001d039648,5,0
Zm00001d010075,6,0
Zm00001d047883,6,0
Zm00001d027337,3,0
Zm00001d032295,6,1
Zm00001d043290,6,0
Zm00001d016255,2,1
Zm00001d023387,2,0
Zm00001d005879,6,0
Zm00001d016438,6,0
Zm00001d025917,5,0
Zm00001d014617,1,0
Zm00001d037086,3,0
Zm00001d021836,1,0
Zm00001d028930,6,1
Zm00001d039615,6,0
Zm00001d031290,5,0
Zm00001d050195,5,1
Zm00001d044291,5,0
Zm00001d037532,1,0
Zm00001d009436,3,0
Zm00001d013849,5,1
Zm00001d020804,1,1
Zm00001d034635,1,0
Zm00001d035089,4,0
Zm00001d036551,7,1
Zm00001d046202,7,0
Zm00001d046574,6,0
Zm00001d014918,1,0
Zm00001d053151,1,1
Zm00001d014405,1,1
Zm00001d017869,1,0
Zm00001d034073,6,1
Zm00001d013220,6,1
Zm00001d012761,7,0
Zm00001d005399,3,0
Zm00001d038780,6,0
Zm00001d041740,1,1
Zm00001d006456,3,0
Zm00001d042909,4,0
Zm00001d009385,2,1
Zm00001d053382,3,0
Zm00001d005766,6,0
Zm00001d042305,5,1
Zm00001d002573,5,1
Zm00001d017350,5,1
Zm00001d026203,6,1
Zm00001d026204,6,1
Zm00001d046682,5,0
Zm00001d020136,6,1
Zm00001d004706,6,0
Zm00001d046194,3,0
Zm00001d047063,1,0
Zm00001d029287,5,1
Zm00001d027727,5,0
Zm00001d022266,5,1
Zm00001d016687,5,0
Zm00001d043516,3,0
Zm00001d024305,4,0
Zm00001d044110,1,0
Zm00001d003755,7,1
Zm00001d047708,7,0
Zm00001d031741,5,0
Zm00001d022037,5,0
Zm00001d010233,1,1
Zm00001d023440,5,0
Zm00001d047367,7,0
Zm00001d020339,6,0
Zm00001d031880,6,0
Zm00001d004744,1,1
Zm00001d015226,4,1
Zm00001d032370,4,0
Zm00001d026047,6,1
Zm00001d002085,1,0
Zm00001d016719,6,0
Zm00001d008882,1,1
Zm00001d052721,4,0
Zm00001d042080,4,0
Zm00001d034781,6,0
Zm00001d025055,2,0
Zm00001d042609,6,1
Zm00001d029151,6,0
Zm00001d011656,6,0
Zm00001d034689,3,0
Zm00001d018941,2,1
Zm00001d015520,2,0
Zm00001d001894,5,1
Zm00001d043973,5,0
Zm00001d043990,5,0
Zm00001d043238,6,0
Zm00001d026436,1,0
Zm00001d010527,5,0
Zm00001d033237,7,0
Zm00001d021365,3,0
Zm00001d020941,5,1
Zm00001d019696,1,0
Zm00001d043929,6,0
Zm00001d001982,6,0
Zm00001d043220,6,0
Zm00001d038585,6,1
Zm00001d031665,1,1
Zm00001d017983,6,0
Zm00001d014883,5,0
Zm00001d052087,3,1
Zm00001d017456,3,0
Zm00001d017085,6,0
Zm00001d047356,1,1
Zm00001d046438,1,0
Zm00001d039266,3,1
Zm00001d053109,3,0
Zm00001d002537,4,0
Zm00001d003064,6,1
Zm00001d015884,6,0
Zm00001d017900,1,1
Zm00001d021583,3,0
Zm00001d009700,6,0
Zm00001d051939,5,0
Zm00001d001828,3,0
Zm00001d028413,5,1
Zm00001d047921,5,1
Zm00001d024574,6,0
Zm00001d034678,3,0
Zm00001d018225,1,1
Zm00001d031777,6,0
Zm00001d051600,4,0
Zm00001d011133,6,1
Zm00001d039994,1,0
Zm00001d025722,3,0
Zm00001d048417,6,0
Zm00001d049913,4,1
Zm00001d024043,4,0
Zm00001d031943,3,0
Zm00001d048233,1,0
Zm00001d043267,6,0
Zm00001d004086,5,1
Zm00001d039011,6,0
Zm00001d018104,1,0
Zm00001d030191,1,1
Zm00001d040173,1,0
Zm00001d043098,3,0
Zm00001d042811,6,0
Zm00001d043706,6,1
Zm00001d026607,1,0
Zm00001d001806,4,0
Zm00001d032999,6,1
Zm00001d028361,5,1
Zm00001d040324,1,0
Zm00001d005970,6,1
Zm00001d012956,6,0
Zm00001d029855,5,1
Zm00001d032316,1,1
Zm00001d051112,3,0
Zm00001d043354,7,0
Zm00001d043544,7,0
Zm00001d045392,5,0
Zm00001d037619,5,0
Zm00001d002662,3,0
Zm00001d038113,3,0
Zm00001d024904,1,0
Zm00001d039185,3,1
Zm00001d037315,3,1
Zm00001d024300,3,0
Zm00001d029604,1,0
Zm00001d012856,3,0
Zm00001d028974,6,1
Zm00001d043125,6,0
Zm00001d027957,4,1
Zm00001d052180,3,1
Zm00001d017908,1,1
Zm00001d011183,1,0
Zm00001d030253,1,0
Zm00001d018698,5,1
Zm00001d020867,5,0
Zm00001d007782,3,0
Zm00001d040730,1,0
Zm00001d020976,2,0
Zm00001d026691,4,0
Zm00001d044274,4,0
Zm00001d014814,3,1
Zm00001d043164,3,0
Zm00001d010956,6,1
Zm00001d038109,3,0
Zm00001d045476,5,0
Zm00001d013857,7,0
Zm00001d053229,6,0
Zm00001d034884,5,0
Zm00001d047104,6,0
Zm00001d017170,3,0
Zm00001d030101,3,0
Zm00001d011275,5,0
Zm00001d028999,6,1
Zm00001d004512,3,1
Zm00001d008800,3,1
Zm00001d015765,4,0
Zm00001d053626,5,0
Zm00001d002799,6,1
Zm00001d044078,6,0
Zm00001d026113,5,1
Zm00001d034890,5,0
Zm00001d015194,3,0
Zm00001d027355,6,0
Zm00001d050488,4,0
Zm00001d023732,3,0
Zm00001d025234,3,0
Zm00001d036807,3,1
Zm00001d017147,4,1
Zm00001d012539,5,0
Zm00001d051553,1,0
Zm00001d007164,3,0
Zm00001d035512,1,1
Zm00001d048414,1,0
Zm00001d029686,5,0
Zm00001d038791,6,0
Zm00001d021901,6,0
Zm00001d044333,3,0
Zm00001d009676,7,0
Zm00001d045017,5,0
Zm00001d012584,5,1
Zm00001d001774,6,0
Zm00001d045657,6,0
Zm00001d035304,3,0
Zm00001d033459,5,0
Zm00001d027757,1,1
Zm00001d039685,5,0
Zm00001d001859,4,0
Zm00001d002762,6,1
Zm00001d022569,6,0
Zm00001d028538,3,0
Zm00001d046739,7,0
Zm00001d006570,1,0
Zm00001d031673,5,1
Zm00001d025229,6,0
Zm00001d047743,1,0
Zm00001d028160,1,0
Zm00001d041911,4,0
Zm00001d011721,1,0
Zm00001d046852,6,0
Zm00001d022526,1,1
Zm00001d015407,1,1
Zm00001d042938,4,0
Zm00001d007851,4,0
Zm00001d042848,1,0
Zm00001d038191,5,1
Zm00001d018567,5,0
Zm00001d040029,7,0
Zm00001d012260,7,1
Zm00001d042686,4,1
Zm00001d043094,3,1
Zm00001d002004,1,0
Zm00001d028752,6,0
Zm00001d032578,6,1
Zm00001d006815,5,0
Zm00001d026318,5,0
Zm00001d026695,5,0
Zm00001d036925,6,0
Zm00001d045533,5,1
Zm00001d035965,5,1
Zm00001d012427,6,1
Zm00001d030858,6,1
Zm00001d008222,4,0
Zm00001d021591,1,1
Zm00001d049145,1,0
Zm00001d036351,3,0
Zm00001d044065,5,1
Zm00001d030230,3,0
Zm00001d021160,6,0
Zm00001d026191,5,1
Zm00001d011560,4,1
Zm00001d020470,5,0
Zm00001d050241,1,0
Zm00001d036122,6,0
Zm00001d040342,3,0
Zm00001d014412,6,0
Zm00001d018530,5,1
Zm00001d014734,5,0
Zm00001d038777,3,0
Zm00001d047674,6,0
Zm00001d046961,6,0
Zm00001d018334,5,0
Zm00001d033976,1,0
Zm00001d034754,3,0
Zm00001d015164,6,0
Zm00001d002757,3,0
Zm00001d016273,4,0
Zm00001d031457,4,0
Zm00001d006929,4,0
Zm00001d021978,6,0
Zm00001d005846,3,0
Zm00001d010426,1,0
Zm00001d017778,6,1
Zm00001d030158,6,0
Zm00001d011751,6,0
Zm00001d028273,6,0
Zm00001d042245,6,0
Zm00001d051632,3,1
Zm00001d042355,7,0
Zm00001d027283,1,0
Zm00001d035035,6,0
Zm00001d013376,3,0
Zm00001d012916,4,1
Zm00001d046039,4,0
Zm00001d008393,3,0
Zm00001d020552,6,0
Zm00001d033839,3,0
Zm00001d014337,7,0
Zm00001d031728,6,1
Zm00001d052190,6,0
Zm00001d040067,6,0
Zm00001d040455,3,1
Zm00001d029719,3,0
Zm00001d041953,4,0
Zm00001d019677,5,0
Zm00001d038465,1,0
Zm00001d022401,3,0
Zm00001d015759,1,1
Zm00001d045468,1,0
Zm00001d019180,5,0
Zm00001d011060,5,0
Zm00001d033193,3,0
Zm00001d018326,6,0
Zm00001d035677,6,0
Zm00001d011669,1,1
Zm00001d038065,1,0
Zm00001d023801,3,0
Zm00001d005298,1,0
Zm00001d030328,1,0
Zm00001d038165,6,0
Zm00001d050000,3,0
Zm00001d044527,3,0
Zm00001d012763,3,0
Zm00001d048055,3,0
Zm00001d043830,6,0
Zm00001d022435,6,0
Zm00001d028577,6,0
Zm00001d051534,5,0
Zm00001d035657,5,0
Zm00001d002687,1,0
Zm00001d039245,6,1
Zm00001d003538,5,0
Zm00001d019325,3,0
Zm00001d039910,5,0
Zm00001d017462,6,1
Zm00001d022234,6,0
Zm00001d051139,2,0
Zm00001d009746,5,0
Zm00001d007468,3,0
Zm00001d041627,3,0
Zm00001d002592,6,0
Zm00001d043420,1,1
Zm00001d027880,4,0
Zm00001d040775,3,1
Zm00001d009907,6,0
Zm00001d025710,3,0
Zm00001d051239,6,1
Zm00001d017366,6,1
Zm00001d030900,1,0
Zm00001d033414,3,0
Zm00001d028482,5,0
Zm00001d020429,6,0
Zm00001d032285,6,0
Zm00001d052292,6,0
Zm00001d028050,3,0
Zm00001d049091,6,0
Zm00001d032194,5,1
Zm00001d034901,5,0
Zm00001d033015,6,0
Zm00001d050023,3,1
Zm00001d022296,3,0
Zm00001d013809,1,0
Zm00001d023856,5,0
Zm00001d029648,6,0
Zm00001d010232,1,1
Zm00001d044122,1,0
Zm00001d028311,1,0
Zm00001d034605,5,1
Zm00001d023542,5,0
Zm00001d034787,6,0
Zm00001d043950,6,1
Zm00001d043386,6,0
Zm00001d015639,5,1
Zm00001d029763,5,0
Zm00001d027443,6,0
Zm00001d046722,1,0
Zm00001d013330,3,0
Zm00001d033051,7,0
Zm00001d038970,4,0
Zm00001d021775,6,0
Zm00001d048471,1,1
Zm00001d043019,1,0
Zm00001d049176,5,0
Zm00001d039901,3,0
Zm00001d006330,6,0
Zm00001d031967,3,0
Zm00001d038192,3,0
Zm00001d042926,5,0
Zm00001d008515,1,0
Zm00001d026634,4,0
Zm00001d044664,5,0
Zm00001d039426,6,0
Zm00001d050862,4,0
Zm00001d042498,3,0
Zm00001d027319,4,0
Zm00001d035506,1,0
Zm00001d002410,6,0
Zm00001d013680,4,0
Zm00001d051286,4,0
Zm00001d013550,6,0
Zm00001d008919,5,1
Zm00001d008715,5,0
Zm00001d027411,1,0
Zm00001d023634,4,0
Zm00001d038211,1,0
Zm00001d019505,6,0
Zm00001d033566,7,1
Zm00001d027758,7,0
Zm00001d016581,3,0
Zm00001d021635,3,0
Zm00001d019459,3,0
Zm00001d012749,4,1
Zm00001d037712,3,0
Zm00001d008799,6,0
Zm00001d002782,5,1
Zm00001d037781,3,0
Zm00001d020064,1,0
Zm00001d040213,3,0
Zm00001d006053,6,1
Zm00001d047621,1,0
Zm00001d018081,5,1
Zm00001d011919,6,0
Zm00001d025134,4,0
Zm00001d037435,6,0
Zm00001d002650,4,0
Zm00001d053855,3,1
Zm00001d049133,3,0
Zm00001d034372,6,0
Zm00001d037337,1,0
Zm00001d033730,5,0
Zm00001d047421,5,1
Zm00001d014752,5,0
Zm00001d015932,4,0
Zm00001d018344,5,0
Zm00001d004020,3,0
Zm00001d012709,5,0
Zm00001d034700,5,0
Zm00001d009474,1,0
Zm00001d044688,6,0
Zm00001d044060,4,0
Zm00001d025124,4,0
Zm00001d033222,6,0
Zm00001d049822,1,1
Zm00001d013495,3,0
Zm00001d045445,3,0
Zm00001d044677,1,0
Zm00001d053247,4,0
Zm00001d035400,1,0
Zm00001d035306,6,0
Zm00001d021278,4,1
Zm00001d043128,6,0
Zm00001d051542,3,0
Zm00001d030915,6,0
Zm00001d001837,3,1
Zm00001d024661,1,0
Zm00001d028597,4,0
Zm00001d040303,4,0
Zm00001d048412,3,1
Zm00001d033533,4,0
Zm00001d028957,5,0
Zm00001d042217,1,0
Zm00001d028566,4,0
Zm00001d011179,3,0
Zm00001d006534,6,0
Zm00001d031759,1,1
Zm00001d020267,5,1
Zm00001d039455,5,0
Zm00001d017846,3,0
Zm00001d022254,1,0
Zm00001d007949,1,1
Zm00001d028440,6,0
Zm00001d029899,1,0
Zm00001d045298,6,0
Zm00001d017978,6,0
Zm00001d052344,4,0
Zm00001d027904,1,0
Zm00001d011571,6,1
Zm00001d045460,6,0
Zm00001d028208,4,0
Zm00001d027435,1,1
Zm00001d024866,6,0
Zm00001d003761,6,0
Zm00001d052167,6,1
Zm00001d036740,5,0
Zm00001d040040,1,0
Zm00001d019326,3,0
Zm00001d037290,3,0
Zm00001d015434,6,0
Zm00001d053127,1,0
Zm00001d038143,1,0
Zm00001d015863,3,0
Zm00001d040606,1,0
Zm00001d032102,6,0
